Operacja:;Wielkosc strukutry:;Rozmiar plecaka:;Czas[us]
KPDynamic;100;1000;887.525926
KPDynamic;100;3000;2226.074074
KPDynamic;100;5000;4408.272593
KPDynamic;200;1000;1856.193580
KPDynamic;200;3000;5325.886420
KPDynamic;200;5000;6498.038519
KPDynamic;300;1000;1725.246420
KPDynamic;300;3000;5340.088889
KPDynamic;300;5000;9814.984691
KPDynamic;400;1000;2187.354074
KPDynamic;400;3000;6037.226667
KPDynamic;400;5000;12734.684444
KPDynamic;500;1000;2518.822716
KPDynamic;500;3000;7682.800988
KPDynamic;500;5000;16114.394074
