Operacja:;Wielkosc strukutry:;Rozmiar plecaka:;Czas[us]
KPFullSearch;5;50;35.077531
KPFullSearch;5;150;30.897778
KPFullSearch;5;250;33.473580
KPFullSearch;10;50;1580.855309
KPFullSearch;10;150;1318.123457
KPFullSearch;10;250;1322.263704
KPFullSearch;15;50;52935.344198
KPFullSearch;15;150;49168.967901
KPFullSearch;15;250;50256.039506
KPFullSearch;20;50;1998872.237037
KPFullSearch;20;150;175279.786667
KPFullSearch;20;250;187539.365926
KPFullSearch;25;50;7690064.952099
KPFullSearch;25;150;7760162.101728
KPFullSearch;25;250;7766475.152593
